fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241029.040936	1	55	1	207409	1600	5.049	5.049
20241029.041021	1	55	1	207409	1800	6.409	6.409
20241029.041102	1	55	1	207409	2000	7.029	7.029
20241029.041146	1	55	1	207409	2200	6.799	6.799
20241029.041227	1	55	1	207409	2400	7.079	7.079
20241029.041309	1	55	1	410203	1600	8.419	8.419
20241029.041350	1	55	1	410203	1800	8.219	8.219
20241029.041434	1	55	1	410203	2000	7.969	7.969
20241029.041515	1	55	1	410203	2200	7.739	7.739
20241029.041557	1	55	1	410203	2400	7.099	7.099
20241029.041639	1	55	1	635879	1600	7.339	7.339
20241029.041719	1	55	1	635879	1800	7.939	7.939
20241029.041800	1	55	1	635879	2000	8.169	8.169
20241029.041841	1	55	1	635879	2200	7.639	7.639
20241029.041922	1	55	1	635879	2400	7.029	7.029
20241029.042005	1	55	1	267611	1600	5.349	5.349
20241029.042045	1	55	1	267611	1800	5.499	5.499
20241029.042125	1	55	1	267611	2000	6.219	6.219
20241029.042209	1	55	1	267611	2200	6.019	6.019
20241029.042253	1	55	1	267611	2400	6.609	6.609
20241029.042337	1	55	1	102677	1600	7.159	7.159
20241029.042421	1	55	1	102677	1800	7.379	7.379
20241029.042502	1	55	1	102677	2000	7.229	7.229
20241029.042543	1	55	1	102677	2200	7.349	7.349
20241029.042623	1	55	1	102677	2400	6.769	6.769
20241029.042705	1	55	1	503389	1600	7.769	7.769
20241029.042746	1	55	1	503389	1800	7.959	7.959
20241029.042826	1	55	1	503389	2000	7.709	7.709
20241029.042907	1	55	1	503389	2200	7.529	7.529
20241029.042948	1	55	1	503389	2400	7.369	7.369
20241029.043030	1	55	1	255733	1600	7.419	7.419
20241029.043112	1	55	1	255733	1800	7.299	7.299
20241029.043157	1	55	1	255733	2000	7.529	7.529
20241029.043239	1	55	1	255733	2200	6.919	6.919
20241029.043320	1	55	1	255733	2400	6.729	6.729
20241029.043401	1	55	1	943373	1600	6.389	6.389
20241029.043442	1	55	1	943373	1800	7.369	7.369
20241029.043522	1	55	1	943373	2000	7.219	7.219
20241029.043603	1	55	1	943373	2200	7.009	7.009
20241029.043643	1	55	1	943373	2400	7.289	7.289
20241029.043725	1	55	1	963763	1600	4.669	4.669
20241029.043805	1	55	1	963763	1800	4.139	4.139
20241029.043846	1	55	1	963763	2000	3.969	3.969
20241029.043926	1	55	1	963763	2200	4.619	4.619
20241029.044006	1	55	1	963763	2400	5.289	5.289
20241029.044048	1	55	1	812249	1600	6.519	6.519
20241029.044129	1	55	1	812249	1800	6.869	6.869
20241029.044209	1	55	1	812249	2000	6.299	6.299
20241029.044250	1	55	1	812249	2200	7.219	7.219
20241029.044334	1	55	1	812249	2400	7.339	7.339
20241029.044419	1	55	1	417097	1600	5.039	5.039
20241029.044501	1	55	1	417097	1800	4.879	4.879
20241029.044541	1	55	1	417097	2000	5.929	5.929
20241029.044622	1	55	1	417097	2200	6.119	6.119
20241029.044702	1	55	1	417097	2400	6.389	6.389
20241029.044744	1	55	1	483839	1600	6.159	6.159
20241029.044825	1	55	1	483839	1800	5.569	5.569
20241029.044905	1	55	1	483839	2000	5.689	5.689
20241029.044946	1	55	1	483839	2200	5.559	5.559
20241029.045028	1	55	1	483839	2400	5.379	5.379
20241029.045110	1	55	1	964927	1600	7.399	7.399
20241029.045150	1	55	1	964927	1800	7.209	7.209
20241029.045230	1	55	1	964927	2000	7.599	7.599
20241029.045311	1	55	1	964927	2200	6.909	6.909
20241029.045357	1	55	1	964927	2400	7.009	7.009
20241029.045443	1	55	1	861493	1600	5.909	5.909
20241029.045527	1	55	1	861493	1800	6.159	6.159
20241029.045620	1	55	1	861493	2000	6.319	6.319
20241029.045707	1	55	1	861493	2200	6.759	6.759
20241029.045753	1	55	1	861493	2400	6.129	6.129
20241029.045838	1	55	1	346559	1600	6.659	6.659
20241029.045920	1	55	1	346559	1800	7.299	7.299
20241029.050000	1	55	1	346559	2000	7.119	7.119
20241029.050044	1	55	1	346559	2200	7.319	7.319
