fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241031.155216	1	58	1	361481	1600	7.089	7.089
20241031.155300	1	58	1	361481	1800	6.919	6.919
20241031.155341	1	58	1	361481	2000	6.739	6.739
20241031.155421	1	58	1	361481	2200	6.919	6.919
20241031.155502	1	58	1	361481	2400	7.149	7.149
20241031.155544	1	58	1	385519	1600	4.699	4.699
20241031.155625	1	58	1	385519	1800	4.859	4.859
20241031.155705	1	58	1	385519	2000	5.859	5.859
20241031.155746	1	58	1	385519	2200	6.069	6.069
20241031.155827	1	58	1	385519	2400	5.959	5.959
20241031.155909	1	58	1	640363	1600	5.749	5.749
20241031.155949	1	58	1	640363	1800	5.579	5.579
20241031.160029	1	58	1	640363	2000	5.789	5.789
20241031.160110	1	58	1	640363	2200	5.979	5.979
20241031.160151	1	58	1	640363	2400	6.279	6.279
20241031.160233	1	58	1	883969	1600	5.849	5.849
20241031.160314	1	58	1	883969	1800	5.599	5.599
20241031.160355	1	58	1	883969	2000	5.779	5.779
20241031.160435	1	58	1	883969	2200	5.139	5.139
20241031.160515	1	58	1	883969	2400	4.959	4.959
20241031.160558	1	58	1	368743	1600	5.399	5.399
20241031.160638	1	58	1	368743	1800	5.209	5.209
20241031.160720	1	58	1	368743	2000	5.449	5.449
20241031.160800	1	58	1	368743	2200	5.619	5.619
20241031.160841	1	58	1	368743	2400	5.759	5.759
20241031.160923	1	58	1	503359	1600	5.809	5.809
20241031.161004	1	58	1	503359	1800	5.689	5.689
20241031.161045	1	58	1	503359	2000	6.789	6.789
20241031.161126	1	58	1	503359	2200	6.869	6.869
20241031.161206	1	58	1	503359	2400	6.429	6.429
20241031.161249	1	58	1	397549	1600	4.579	4.579
20241031.161334	1	58	1	397549	1800	4.789	4.789
20241031.161417	1	58	1	397549	2000	4.659	4.659
20241031.161458	1	58	1	397549	2200	4.899	4.899
20241031.161540	1	58	1	397549	2400	4.399	4.399
20241031.161622	1	58	1	547387	1600	5.399	5.399
20241031.161703	1	58	1	547387	1800	5.299	5.299
20241031.161744	1	58	1	547387	2000	4.749	4.749
20241031.161829	1	58	1	547387	2200	5.849	5.849
20241031.161911	1	58	1	547387	2400	5.609	5.609
20241031.161953	1	58	1	125219	1600	6.419	6.419
20241031.162033	1	58	1	125219	1800	5.769	5.769
20241031.162113	1	58	1	125219	2000	5.149	5.149
20241031.162154	1	58	1	125219	2200	5.299	5.299
20241031.162235	1	58	1	125219	2400	5.529	5.529
20241031.162317	1	58	1	202823	1600	4.999	4.999
20241031.162356	1	58	1	202823	1800	5.679	5.679
20241031.162438	1	58	1	202823	2000	5.899	5.899
20241031.162518	1	58	1	202823	2200	5.629	5.629
20241031.162558	1	58	1	202823	2400	5.439	5.439
20241031.162640	1	58	1	565637	1600	6.109	6.109
20241031.162722	1	58	1	565637	1800	6.219	6.219
20241031.162804	1	58	1	565637	2000	5.959	5.959
20241031.162849	1	58	1	565637	2200	5.849	5.849
20241031.162934	1	58	1	565637	2400	6.019	6.019
20241031.163016	1	58	1	191551	1600	5.459	5.459
20241031.163059	1	58	1	191551	1800	5.299	5.299
20241031.163140	1	58	1	191551	2000	5.159	5.159
20241031.163220	1	58	1	191551	2200	4.839	4.839
20241031.163302	1	58	1	191551	2400	5.109	5.109
20241031.163344	1	58	1	408049	1600	4.499	4.499
20241031.163426	1	58	1	408049	1800	5.119	5.119
20241031.163506	1	58	1	408049	2000	4.589	4.589
20241031.163547	1	58	1	408049	2200	5.229	5.229
20241031.163628	1	58	1	408049	2400	5.879	5.879
20241031.163710	1	58	1	302143	1600	5.889	5.889
20241031.163750	1	58	1	302143	1800	6.419	6.419
20241031.163831	1	58	1	302143	2000	6.649	6.649
20241031.163911	1	58	1	302143	2200	5.999	5.999
20241031.163953	1	58	1	302143	2400	5.499	5.499
20241031.164035	1	58	1	642871	1600	5.389	5.389
20241031.164116	1	58	1	642871	1800	5.609	5.609
20241031.164157	1	58	1	642871	2000	5.799	5.799
20241031.164238	1	58	1	642871	2200	6.319	6.319
20241031.164319	1	58	1	642871	2400	6.499	6.499
20241031.164401	1	58	1	120847	1600	5.749	5.749
20241031.164442	1	58	1	120847	1800	5.899	5.899
20241031.164523	1	58	1	120847	2000	6.039	6.039
20241031.164603	1	58	1	120847	2200	6.289	6.289
20241031.164643	1	58	1	120847	2400	6.069	6.069
20241031.164725	1	58	1	346639	1600	6.639	6.639
20241031.164805	1	58	1	346639	1800	6.889	6.889
20241031.164846	1	58	1	346639	2000	6.669	6.669
20241031.164926	1	58	1	346639	2200	6.429	6.429
20241031.165007	1	58	1	346639	2400	5.819	5.819
20241031.165049	1	58	1	928859	1600	5.759	5.759
20241031.165130	1	58	1	928859	1800	6.289	6.289
20241031.165210	1	58	1	928859	2000	5.739	5.739
20241031.165250	1	58	1	928859	2200	5.899	5.899
20241031.165331	1	58	1	928859	2400	5.209	5.209
20241031.165413	1	58	1	504187	1600	5.479	5.479
20241031.165453	1	58	1	504187	1800	5.629	5.629
20241031.165534	1	58	1	504187	2000	5.979	5.979
20241031.165615	1	58	1	504187	2200	6.199	6.199
20241031.165655	1	58	1	504187	2400	6.229	6.229
20241031.165737	1	58	1	466997	1600	6.119	6.119
20241031.165818	1	58	1	466997	1800	5.919	5.919
20241031.165858	1	58	1	466997	2000	5.819	5.819
20241031.165939	1	58	1	466997	2200	5.299	5.299
20241031.170019	1	58	1	466997	2400	5.149	5.149
20241031.170100	1	58	1	304099	1600	6.269	6.269
20241031.170140	1	58	1	304099	1800	7.309	7.309
20241031.170220	1	58	1	304099	2000	7.129	7.129
20241031.170300	1	58	1	304099	2200	6.539	6.539
20241031.170340	1	58	1	304099	2400	6.269	6.269
20241031.170346	1	58	21	-1	1600	5.68328571428571	5.68328571428571
20241031.170350	1	58	21	-1	1800	5.809	5.809
20241031.170355	1	58	21	-1	2000	5.82804761904762	5.82804761904762
