fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241103.032900	1	50	1	456193	1600	6.559	6.559
20241103.032944	1	50	1	456193	1800	6.409	6.409
20241103.033025	1	50	1	456193	2000	6.669	6.669
20241103.033106	1	50	1	456193	2200	6.559	6.559
20241103.033147	1	50	1	456193	2400	7.129	7.129
20241103.033228	1	50	1	582763	1600	5.039	5.039
20241103.033309	1	50	1	582763	1800	5.619	5.619
20241103.033349	1	50	1	582763	2000	6.339	6.339
20241103.033430	1	50	1	582763	2200	6.569	6.569
20241103.033511	1	50	1	582763	2400	6.359	6.359
20241103.033554	1	50	1	567751	1600	5.799	5.799
20241103.033634	1	50	1	567751	1800	5.669	5.669
20241103.033715	1	50	1	567751	2000	6.289	6.289
20241103.033756	1	50	1	567751	2200	6.059	6.059
20241103.033837	1	50	1	567751	2400	5.499	5.499
20241103.033920	1	50	1	502093	1600	6.159	6.159
20241103.034001	1	50	1	502093	1800	6.429	6.429
20241103.034041	1	50	1	502093	2000	5.859	5.859
20241103.034122	1	50	1	502093	2200	5.709	5.709
20241103.034202	1	50	1	502093	2400	5.929	5.929
20241103.034245	1	50	1	111953	1600	5.709	5.709
20241103.034329	1	50	1	111953	1800	5.689	5.689
20241103.034414	1	50	1	111953	2000	5.539	5.539
20241103.034457	1	50	1	111953	2200	6.559	6.559
20241103.034538	1	50	1	111953	2400	6.339	6.339
20241103.034620	1	50	1	278227	1600	5.679	5.679
20241103.034701	1	50	1	278227	1800	5.969	5.969
20241103.034741	1	50	1	278227	2000	5.869	5.869
20241103.034822	1	50	1	278227	2200	5.759	5.759
20241103.034903	1	50	1	278227	2400	6.729	6.729
20241103.034946	1	50	1	848399	1600	5.379	5.379
20241103.035030	1	50	1	848399	1800	6.409	6.409
20241103.035112	1	50	1	848399	2000	6.649	6.649
20241103.035152	1	50	1	848399	2200	6.489	6.489
20241103.035232	1	50	1	848399	2400	6.319	6.319
20241103.035314	1	50	1	869777	1600	5.789	5.789
20241103.035355	1	50	1	869777	1800	6.459	6.459
20241103.035436	1	50	1	869777	2000	6.629	6.629
20241103.035517	1	50	1	869777	2200	6.889	6.889
20241103.035557	1	50	1	869777	2400	6.409	6.409
20241103.035640	1	50	1	952583	1600	5.779	5.779
20241103.035720	1	50	1	952583	1800	6.059	6.059
20241103.035801	1	50	1	952583	2000	6.219	6.219
